State,License_Plate,VIN,Make_Name,Model_Name,Trim_Year,Trim_Name,Trim_Description,Engine_Type,Engine_Fuel_Type,Engine_Cylinders,Engine_Size,Engine_Cam_Type,Engine_Drive_Type,Engine_Transmission,Body_Type,Mileage_Fuel_Tank_Capacity
New York,ZHX 5625P,8C17W582203H158424,Acura,ILX,2020,Base,4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,13.2
New York,GRV 1779J,7S74O415980Q625655,Acura,ILX,2020,Premium and A-SPEC Packages,Premium and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,13.2
New York,POE 5440G,6A46X141187J506268,Acura,ILX,2020,Premium Package,Premium Package 4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,13.2
New York,MVS 7661P,7E91U749504S452392,Acura,ILX,2020,Technology and A-SPEC Packages,Technology and A-SPEC Packages 4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,13.2
New York,DWS 2164T,7O95X914414I273233,Acura,ILX,2020,Technology Package,Technology Package 4dr Sedan (2.4L 4cyl 8AM),gas,93 (Premium),I4,2.4,Double overhead cam (DOHC),front wheel drive,8-speed automated manual,Sedan,13.2
New York,WOW 8897A,8Z12Z224770Y502930,Acura,MDX,2020,Base,4dr SUV (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,SUV,19.5
New York,POK 7674V,4U70U772224D246881,Acura,MDX,2020,Base,4dr SUV w/Technology Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,SUV,19.5
New York,TCR 1307N,7S45P238673C378341,Acura,MDX,2020,Base,4dr SUV w/Advance Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),front wheel drive,9-speed shiftable automatic,SUV,19.5
New York,FIG 7318B,1N62S851883R607292,Acura,MDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Advance and Entertainment Packages (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
New York,INI 9626S,3S96H249238R141658,Acura,MDX,2020,SH-AWD,SH-AWD 4dr SUV AWD w/Advance Package (3.5L 6cyl 9A),gas,93 (Premium),V6,3.5,Single overhead cam (SOHC),all wheel drive,9-speed shiftable automatic,SUV,19.5
